Country,Year,Category,Value
Argentina,1999,All Exterrnal Factors,46.3
Argentina,1999,All Suicide,6.6
Argentina,1999,Expected Lifespan,73.5
Argentina,2000,All Diseases,401.6
Argentina,2000,All Exterrnal Factors,44.1
Argentina,2000,All Suicide,7.5
Argentina,2000,Expected Lifespan,73.8
Argentina,2001,All Diseases,405.8
Argentina,2001,All Exterrnal Factors,43.7
Argentina,2001,All Suicide,8.3
Argentina,2001,Expected Lifespan,74
Argentina,2002,All Diseases,400.7
Argentina,2002,All Exterrnal Factors,42.3
Argentina,2002,All Suicide,8.3
Argentina,2002,Expected Lifespan,74.2
Argentina,2003,All Diseases,407.7
Argentina,2003,All Exterrnal Factors,39.2
Argentina,2003,All Suicide,8.5
Argentina,2003,Expected Lifespan,74.3
Argentina,2004,All Diseases,386.4
Argentina,2004,All Exterrnal Factors,36.8
Argentina,2004,All Suicide,8
Argentina,2004,Expected Lifespan,74.5
Argentina,2005,All Diseases,376.6
Argentina,2005,All Exterrnal Factors,37.4
Argentina,2005,All Suicide,7.7
Argentina,2005,Expected Lifespan,74.7
Argentina,2006,All Diseases,366.3
Argentina,2006,All Exterrnal Factors,38.6
Argentina,2006,All Suicide,7.8
Argentina,2006,Expected Lifespan,74.8
Argentina,2007,All Diseases,387.1
Argentina,2007,All Exterrnal Factors,39.1
Argentina,2007,All Suicide,7.3
Argentina,2007,Expected Lifespan,75
Argentina,2008,All Diseases,353.6
Argentina,2008,All Exterrnal Factors,39.1
Argentina,2008,All Suicide,7.5
Argentina,2008,Expected Lifespan,75.2
Argentina,2009,All Diseases,350.4
Argentina,2009,All Exterrnal Factors,35.9
Argentina,2009,All Suicide,7
Argentina,2009,Expected Lifespan,75.3
Argentina,2010,All Diseases,364
Argentina,2010,All Exterrnal Factors,36.1
Argentina,2010,All Suicide,7
Argentina,2010,Expected Lifespan,75.5
Argentina,2011,All Diseases,355.4
Argentina,2011,All Exterrnal Factors,37.7
Argentina,2011,All Suicide,6.9
Argentina,2011,Expected Lifespan,75.6
Argentina,2012,All Diseases,348.6
Argentina,2012,All Exterrnal Factors,37.5
Argentina,2012,All Suicide,7.6
Argentina,2012,Expected Lifespan,75.8
Argentina,2013,All Diseases,347
Argentina,2013,All Exterrnal Factors,39
Argentina,2013,All Suicide,7
Argentina,2013,Expected Lifespan,76
Brazil,1980,All Diseases,490.2
Brazil,1980,All Exterrnal Factors,63.2
Brazil,1980,All Suicide,4
Brazil,1980,Expected Lifespan,62
Brazil,1981,All Diseases,482.1
Brazil,1981,All Exterrnal Factors,63.1
Brazil,1981,All Suicide,4
Brazil,1981,Expected Lifespan,62.3
Brazil,1982,All Diseases,468.1
Brazil,1982,All Exterrnal Factors,63.5
Brazil,1982,All Suicide,3.8
Brazil,1982,Expected Lifespan,62.6
Brazil,1983,All Diseases,454.1
Brazil,1983,All Exterrnal Factors,63.3
Brazil,1983,All Suicide,4.3
Brazil,1983,Expected Lifespan,62.9
Brazil,1984,All Diseases,469.8
Brazil,1984,All Exterrnal Factors,65.6
Brazil,1984,All Suicide,4.1
Brazil,1984,Expected Lifespan,63.2
Brazil,1985,All Diseases,461.9
Brazil,1985,All Exterrnal Factors,67.3
Brazil,1985,All Suicide,3.9
Brazil,1985,Expected Lifespan,63.6
Brazil,1986,All Diseases,454.9
Brazil,1986,All Exterrnal Factors,74.6
Brazil,1986,All Suicide,3.8
Brazil,1986,Expected Lifespan,63.9
Brazil,1987,All Diseases,381.6
Brazil,1987,All Exterrnal Factors,68.2
Brazil,1987,All Suicide,4
Brazil,1987,Expected Lifespan,64.2
Brazil,1988,All Diseases,399.7
Brazil,1988,All Exterrnal Factors,67.8
Brazil,1988,All Suicide,3.7
Brazil,1988,Expected Lifespan,64.6
Brazil,1989,All Diseases,379.1
Brazil,1989,All Exterrnal Factors,70.1
Brazil,1989,All Suicide,3.6
Brazil,1989,Expected Lifespan,65
Brazil,1990,All Diseases,508
Brazil,1990,All Exterrnal Factors,70.4
Brazil,1990,All Suicide,3.9
Brazil,1990,Expected Lifespan,65.3
Brazil,1991,All Diseases,465.6
Brazil,1991,All Exterrnal Factors,69.7
Brazil,1991,All Suicide,4.1
Brazil,1991,Expected Lifespan,65.7
Brazil,1992,All Diseases,468
Brazil,1992,All Exterrnal Factors,65.2
Brazil,1992,All Suicide,4
Brazil,1992,Expected Lifespan,66.2
Brazil,1993,All Diseases,487.8
Brazil,1993,All Exterrnal Factors,67.7
Brazil,1993,All Suicide,4.1
Brazil,1993,Expected Lifespan,66.6
Brazil,1994,All Diseases,479.2
Brazil,1994,All Exterrnal Factors,67.9
Brazil,1994,All Suicide,4.3
Brazil,1994,Expected Lifespan,67.1
Brazil,1995,All Diseases,470.9
Brazil,1995,All Exterrnal Factors,70.8
Brazil,1995,All Suicide,4.6
Brazil,1995,Expected Lifespan,67.6
Brazil,1996,All Diseases,514.7
Brazil,1996,All Exterrnal Factors,71.8
Brazil,1996,All Suicide,4.6
Brazil,1996,Expected Lifespan,68.1
Brazil,1997,All Diseases,487.9
Brazil,1997,All Exterrnal Factors,70.3
Brazil,1997,All Suicide,4.6
Brazil,1997,Expected Lifespan,68.6
Brazil,1998,All Diseases,486.8
Brazil,1998,All Exterrnal Factors,67.3
Brazil,1998,All Suicide,4.6
Brazil,1998,Expected Lifespan,69.1
Brazil,1999,All Diseases,473.4
Brazil,1999,All Exterrnal Factors,66
Brazil,1999,All Suicide,4.2
Brazil,1999,Expected Lifespan,69.6
Brazil,2000,All Diseases,467.4
Brazil,2000,All Exterrnal Factors,65.6
Brazil,2000,All Suicide,4.2
Brazil,2000,Expected Lifespan,70
Brazil,2001,All Diseases,453.9
Brazil,2001,All Exterrnal Factors,65.4
Brazil,2001,All Suicide,4.7
Brazil,2001,Expected Lifespan,70.5
Brazil,2002,All Diseases,446.4
Brazil,2002,All Exterrnal Factors,66.7
Brazil,2002,All Suicide,4.5
Brazil,2002,Expected Lifespan,70.8
Brazil,2003,All Diseases,440.7
Brazil,2003,All Exterrnal Factors,65.5
Brazil,2003,All Suicide,4.5
Brazil,2003,Expected Lifespan,71.2
Brazil,2004,All Diseases,441.1
Brazil,2004,All Exterrnal Factors,65.3
Brazil,2004,All Suicide,4.5
Brazil,2004,Expected Lifespan,71.5
Brazil,2005,All Diseases,425
Brazil,2005,All Exterrnal Factors,64.1
Brazil,2005,All Suicide,4.7
Brazil,2005,Expected Lifespan,71.8
Brazil,2006,All Diseases,429.8
Brazil,2006,All Exterrnal Factors,63.2
Brazil,2006,All Suicide,4.6
Brazil,2006,Expected Lifespan,72.1
Brazil,2007,All Diseases,420.6
Brazil,2007,All Exterrnal Factors,63.4
Brazil,2007,All Suicide,4.7
Brazil,2007,Expected Lifespan,72.4
Brazil,2008,All Diseases,414.4
Brazil,2008,All Exterrnal Factors,64.7
Brazil,2008,All Suicide,4.8
Brazil,2008,Expected Lifespan,72.7
Brazil,2009,All Diseases,411.8
Brazil,2009,All Exterrnal Factors,65.3
Brazil,2009,All Suicide,4.8
Brazil,2009,Expected Lifespan,73
Brazil,2010,All Diseases,411
Brazil,2010,All Exterrnal Factors,66.8
Brazil,2010,All Suicide,4.7
Brazil,2010,Expected Lifespan,73.3
Brazil,2011,All Diseases,406.4
Brazil,2011,All Exterrnal Factors,66.7
Brazil,2011,All Suicide,4.8
Brazil,2011,Expected Lifespan,73.6
Brazil,2012,All Diseases,389.8
Brazil,2012,All Exterrnal Factors,68.5
Brazil,2012,All Suicide,5
Brazil,2012,Expected Lifespan,73.8
Brazil,2013,All Diseases,388.5
Brazil,2013,All Exterrnal Factors,67.3
Brazil,2013,All Suicide,5
Brazil,2013,Expected Lifespan,74.1
Colombia,1980,Expected Lifespan,65.5
Colombia,1981,Expected Lifespan,66
Colombia,1982,Expected Lifespan,66.5
Colombia,1983,Expected Lifespan,66.9
Colombia,1984,All Diseases,518.9
Colombia,1984,All Exterrnal Factors,95
Colombia,1984,All Suicide,4.2
Colombia,1984,Expected Lifespan,67.3
Colombia,1985,All Diseases,572.7
Colombia,1985,All Exterrnal Factors,111.3
Colombia,1985,All Suicide,4
Colombia,1985,Expected Lifespan,67.6
Colombia,1986,All Diseases,518.3
Colombia,1986,All Exterrnal Factors,111.8
Colombia,1986,All Suicide,3.6
Colombia,1986,Expected Lifespan,67.8
Colombia,1987,All Diseases,326.3
Colombia,1987,All Exterrnal Factors,105
Colombia,1987,All Suicide,3.2
Colombia,1987,Expected Lifespan,67.9
Colombia,1988,All Diseases,320.4
Colombia,1988,All Exterrnal Factors,111.2
Colombia,1988,All Suicide,3.1
Colombia,1988,Expected Lifespan,68.1
Colombia,1989,All Diseases,314.2
Colombia,1989,All Exterrnal Factors,111.3
Colombia,1989,All Suicide,2.8
Colombia,1989,Expected Lifespan,68.2
Colombia,1990,All Diseases,401.7
Colombia,1990,All Exterrnal Factors,115.3
Colombia,1990,All Suicide,2.8
Colombia,1990,Expected Lifespan,68.3
Colombia,1991,All Diseases,395.1
Colombia,1991,All Exterrnal Factors,128.6
Colombia,1991,All Suicide,3.1
Colombia,1991,Expected Lifespan,68.5
Colombia,1992,All Diseases,384.8
Colombia,1992,All Exterrnal Factors,134.4
Colombia,1992,All Suicide,3.5
Colombia,1992,Expected Lifespan,68.6
Colombia,1993,All Diseases,376.4
Colombia,1993,All Exterrnal Factors,132.9
Colombia,1993,All Suicide,3.5
Colombia,1993,Expected Lifespan,68.9
Colombia,1994,All Diseases,373
Colombia,1994,All Exterrnal Factors,125.2
Colombia,1994,All Suicide,3.7
Colombia,1994,Expected Lifespan,69.1
Colombia,1995,All Diseases,363.6
Colombia,1995,All Exterrnal Factors,113.2
Colombia,1995,All Suicide,3.4
Colombia,1995,Expected Lifespan,69.4
Colombia,1996,All Diseases,366.5
Colombia,1996,All Exterrnal Factors,112.7
Colombia,1996,All Suicide,3.5
Colombia,1996,Expected Lifespan,69.7
Colombia,1997,All Diseases,377.5
Colombia,1997,All Exterrnal Factors,106.2
Colombia,1997,All Suicide,3.5
Colombia,1997,Expected Lifespan,70.1
Colombia,1998,All Diseases,367.6
Colombia,1998,All Exterrnal Factors,102.8
Colombia,1998,All Suicide,5.5
Colombia,1998,Expected Lifespan,70.4
Colombia,1999,All Diseases,391.2
Colombia,1999,All Exterrnal Factors,107.6
Colombia,1999,All Suicide,5.7
Colombia,1999,Expected Lifespan,70.7
Colombia,2000,All Diseases,383.9
Colombia,2000,All Exterrnal Factors,109.4
Colombia,2000,All Suicide,6
Colombia,2000,Expected Lifespan,71
Colombia,2001,All Diseases,379.6
Colombia,2001,All Exterrnal Factors,110
Colombia,2001,All Suicide,6.1
Colombia,2001,Expected Lifespan,71.3
Colombia,2002,All Diseases,369.8
Colombia,2002,All Exterrnal Factors,110.2
Colombia,2002,All Suicide,5.8
Colombia,2002,Expected Lifespan,71.5
Colombia,2003,All Diseases,379.4
Colombia,2003,All Exterrnal Factors,89.3
Colombia,2003,All Suicide,5.6
Colombia,2003,Expected Lifespan,71.8
Colombia,2004,All Diseases,368.8
Colombia,2004,All Exterrnal Factors,84.9
Colombia,2004,All Suicide,5.4
Colombia,2004,Expected Lifespan,72
Colombia,2005,All Diseases,372.2
Colombia,2005,All Exterrnal Factors,75.3
Colombia,2005,All Suicide,5
Colombia,2005,Expected Lifespan,72.3
Colombia,2006,All Diseases,368.8
Colombia,2006,All Exterrnal Factors,73.4
Colombia,2006,All Suicide,5.1
Colombia,2006,Expected Lifespan,72.5
Colombia,2007,All Diseases,353.6
Colombia,2007,All Exterrnal Factors,68.8
Colombia,2007,All Suicide,5
Colombia,2007,Expected Lifespan,72.7
Colombia,2008,All Diseases,350.4
Colombia,2008,All Exterrnal Factors,68.5
Colombia,2008,All Suicide,5
Colombia,2008,Expected Lifespan,72.9
Colombia,2009,All Diseases,328.6
Colombia,2009,All Exterrnal Factors,72
Colombia,2009,All Suicide,5
Colombia,2009,Expected Lifespan,73.1
Colombia,2010,All Diseases,333.5
Colombia,2010,All Exterrnal Factors,67.4
Colombia,2010,All Suicide,4.6
Colombia,2010,Expected Lifespan,73.3
Colombia,2011,All Diseases,311.6
Colombia,2011,All Exterrnal Factors,62.2
Colombia,2011,All Suicide,4.4
Colombia,2011,Expected Lifespan,73.5
Colombia,2012,All Diseases,310.1
Colombia,2012,All Exterrnal Factors,60.1
Colombia,2012,All Suicide,4.5
Colombia,2012,Expected Lifespan,73.6
Colombia,2013,Expected Lifespan,73.8
France,1980,All Diseases,338.5
France,1980,All Exterrnal Factors,59.4
France,1980,All Suicide,16.9
France,1980,Expected Lifespan,74.1
France,1981,All Diseases,333.2
France,1981,All Exterrnal Factors,57.9
France,1981,All Suicide,17
France,1981,Expected Lifespan,74.3
France,1982,All Diseases,315.6
France,1982,All Exterrnal Factors,56.5
France,1982,All Suicide,18
France,1982,Expected Lifespan,74.5
France,1983,All Diseases,319.9
France,1983,All Exterrnal Factors,55
France,1983,All Suicide,18.6
France,1983,Expected Lifespan,74.8
France,1984,All Diseases,299.1
France,1984,All Exterrnal Factors,53
France,1984,All Suicide,18.9
France,1984,Expected Lifespan,75
France,1985,All Diseases,300
France,1985,All Exterrnal Factors,50.4
France,1985,All Suicide,19.3
France,1985,Expected Lifespan,75.3
France,1986,All Diseases,301.9
France,1986,All Exterrnal Factors,50.8
France,1986,All Suicide,19.5
France,1986,Expected Lifespan,75.6
France,1987,All Diseases,269.1
France,1987,All Exterrnal Factors,45.8
France,1987,All Suicide,18.5
France,1987,Expected Lifespan,75.8
France,1988,All Diseases,260.2
France,1988,All Exterrnal Factors,46.7
France,1988,All Suicide,17.5
France,1988,Expected Lifespan,76.1
France,1989,All Diseases,253.8
France,1989,All Exterrnal Factors,47.4
France,1989,All Suicide,17.5
France,1989,Expected Lifespan,76.3
France,1990,All Diseases,247.1
France,1990,All Exterrnal Factors,46.6
France,1990,All Suicide,16.8
France,1990,Expected Lifespan,76.6
France,1991,All Diseases,243.8
France,1991,All Exterrnal Factors,44.9
France,1991,All Suicide,16.9
France,1991,Expected Lifespan,76.8
France,1992,All Diseases,237.3
France,1992,All Exterrnal Factors,43.1
France,1992,All Suicide,17
France,1992,Expected Lifespan,77.1
France,1993,All Diseases,238
France,1993,All Exterrnal Factors,41.8
France,1993,All Suicide,17.9
France,1993,Expected Lifespan,77.3
France,1994,All Diseases,226.2
France,1994,All Exterrnal Factors,39.6
France,1994,All Suicide,17.4
France,1994,Expected Lifespan,77.6
France,1995,All Diseases,227.6
France,1995,All Exterrnal Factors,38.7
France,1995,All Suicide,16.8
France,1995,Expected Lifespan,77.8
France,1996,All Diseases,225.2
France,1996,All Exterrnal Factors,37.5
France,1996,All Suicide,16
France,1996,Expected Lifespan,78
France,1997,All Diseases,216.4
France,1997,All Exterrnal Factors,37
France,1997,All Suicide,15.6
France,1997,Expected Lifespan,78.3
France,1998,All Diseases,221.9
France,1998,All Exterrnal Factors,38.4
France,1998,All Suicide,14.8
France,1998,Expected Lifespan,78.6
France,1999,All Diseases,217.6
France,1999,All Exterrnal Factors,38.1
France,1999,All Suicide,14.4
France,1999,Expected Lifespan,78.8
France,2000,All Diseases,225.4
France,2000,All Exterrnal Factors,34.1
France,2000,All Suicide,15
France,2000,Expected Lifespan,79.1
France,2001,All Diseases,220.5
France,2001,All Exterrnal Factors,34.2
France,2001,All Suicide,14.5
France,2001,Expected Lifespan,79.2
France,2002,All Diseases,219.2
France,2002,All Exterrnal Factors,32.8
France,2002,All Suicide,14.6
France,2002,Expected Lifespan,79.3
France,2003,All Diseases,224.3
France,2003,All Exterrnal Factors,31.7
France,2003,All Suicide,14.8
France,2003,Expected Lifespan,79.1
France,2004,All Diseases,199.9
France,2004,All Exterrnal Factors,27.7
France,2004,All Suicide,14.5
France,2004,Expected Lifespan,80.2
France,2005,All Diseases,201.5
France,2005,All Exterrnal Factors,27.4
France,2005,All Suicide,14.1
France,2005,Expected Lifespan,80.2
France,2006,All Diseases,187.9
France,2006,All Exterrnal Factors,26
France,2006,All Suicide,13.6
France,2006,Expected Lifespan,80.8
France,2007,All Diseases,182
France,2007,All Exterrnal Factors,25.5
France,2007,All Suicide,13
France,2007,Expected Lifespan,81.1
France,2008,All Diseases,180.4
France,2008,All Exterrnal Factors,24.8
France,2008,All Suicide,13.2
France,2008,Expected Lifespan,81.2
France,2009,All Diseases,175.3
France,2009,All Exterrnal Factors,24.4
France,2009,All Suicide,13.3
France,2009,Expected Lifespan,81.4
France,2010,All Diseases,168.4
France,2010,All Exterrnal Factors,24
France,2010,All Suicide,13.1
France,2010,Expected Lifespan,81.7
France,2011,All Diseases,160.9
France,2011,All Exterrnal Factors,23.1
France,2011,All Suicide,12.9
France,2011,Expected Lifespan,82.1
France,2012,Expected Lifespan,82
France,2013,Expected Lifespan,82.2
Germany,1980,Expected Lifespan,72.7
Germany,1981,Expected Lifespan,73
Germany,1982,Expected Lifespan,73.2
Germany,1983,Expected Lifespan,73.5
Germany,1984,Expected Lifespan,73.8
Germany,1985,Expected Lifespan,74.1
Germany,1986,Expected Lifespan,74.3
Germany,1987,Expected Lifespan,74.6
Germany,1988,Expected Lifespan,74.8
Germany,1989,Expected Lifespan,75
Germany,1990,All Diseases,391.5
Germany,1990,All Exterrnal Factors,30.7
Germany,1990,All Suicide,13.7
Germany,1990,Expected Lifespan,75.2
Germany,1991,All Diseases,380.8
Germany,1991,All Exterrnal Factors,31.1
Germany,1991,All Suicide,13.7
Germany,1991,Expected Lifespan,75.3
Germany,1992,All Diseases,361.7
Germany,1992,All Exterrnal Factors,29.4
Germany,1992,All Suicide,13
Germany,1992,Expected Lifespan,75.8
Germany,1993,All Diseases,361.3
Germany,1993,All Exterrnal Factors,28
Germany,1993,All Suicide,12.2
Germany,1993,Expected Lifespan,75.9
Germany,1994,All Diseases,349.5
Germany,1994,All Exterrnal Factors,26.8
Germany,1994,All Suicide,12.3
Germany,1994,Expected Lifespan,76.3
Germany,1995,All Diseases,342.4
Germany,1995,All Exterrnal Factors,24.8
Germany,1995,All Suicide,12.4
Germany,1995,Expected Lifespan,76.4
Germany,1996,All Diseases,334.8
Germany,1996,All Exterrnal Factors,24.4
Germany,1996,All Suicide,11.8
Germany,1996,Expected Lifespan,76.7
Germany,1997,All Diseases,321.2
Germany,1997,All Exterrnal Factors,23.1
Germany,1997,All Suicide,11.7
Germany,1997,Expected Lifespan,77.1
Germany,1998,All Diseases,330.1
Germany,1998,All Exterrnal Factors,21.2
Germany,1998,All Suicide,11.2
Germany,1998,Expected Lifespan,77.5
Germany,1999,All Diseases,323
Germany,1999,All Exterrnal Factors,21.2
Germany,1999,All Suicide,10.6
Germany,1999,Expected Lifespan,77.7
Germany,2000,All Diseases,311
Germany,2000,All Exterrnal Factors,21.2
Germany,2000,All Suicide,10.4
Germany,2000,Expected Lifespan,77.9
Germany,2001,All Diseases,303.5
Germany,2001,All Exterrnal Factors,20.2
Germany,2001,All Suicide,10.4
Germany,2001,Expected Lifespan,78.3
Germany,2002,All Diseases,307
Germany,2002,All Exterrnal Factors,20.2
Germany,2002,All Suicide,10.3
Germany,2002,Expected Lifespan,78.2
Germany,2003,All Diseases,311.1
Germany,2003,All Exterrnal Factors,19.9
Germany,2003,All Suicide,10.2
Germany,2003,Expected Lifespan,78.4
Germany,2004,All Diseases,288.8
Germany,2004,All Exterrnal Factors,18.5
Germany,2004,All Suicide,9.7
Germany,2004,Expected Lifespan,78.7
Germany,2005,All Diseases,284.5
Germany,2005,All Exterrnal Factors,17.9
Germany,2005,All Suicide,9.2
Germany,2005,Expected Lifespan,78.9
Germany,2006,All Diseases,270
Germany,2006,All Exterrnal Factors,17.4
Germany,2006,All Suicide,8.6
Germany,2006,Expected Lifespan,79.1
Germany,2007,All Diseases,263.8
Germany,2007,All Exterrnal Factors,16.3
Germany,2007,All Suicide,8.3
Germany,2007,Expected Lifespan,79.5
Germany,2008,All Diseases,259.2
Germany,2008,All Exterrnal Factors,16.2
Germany,2008,All Suicide,8.4
Germany,2008,Expected Lifespan,79.7
Germany,2009,All Diseases,255.6
Germany,2009,All Exterrnal Factors,15.9
Germany,2009,All Suicide,8.4
Germany,2009,Expected Lifespan,79.8
Germany,2010,All Diseases,247.5
Germany,2010,All Exterrnal Factors,15.8
Germany,2010,All Suicide,8.8
Germany,2010,Expected Lifespan,80
Germany,2011,All Diseases,236.8
Germany,2011,All Exterrnal Factors,15.2
Germany,2011,All Suicide,8.8
Germany,2011,Expected Lifespan,80.7
Germany,2012,All Diseases,235
Germany,2012,All Exterrnal Factors,14.7
Germany,2012,All Suicide,8.5
Germany,2012,Expected Lifespan,80.9
Germany,2013,All Diseases,242.9
Germany,2013,All Exterrnal Factors,15
Germany,2013,All Suicide,8.7
Germany,2013,Expected Lifespan,80.8
Hungary,1980,All Diseases,673.3
Hungary,1980,All Exterrnal Factors,59.2
Hungary,1980,All Suicide,38.9
Hungary,1980,Expected Lifespan,69.1
Hungary,1981,All Diseases,662.2
Hungary,1981,All Exterrnal Factors,60.5
Hungary,1981,All Suicide,39.3
Hungary,1981,Expected Lifespan,69.1
Hungary,1982,All Diseases,655
Hungary,1982,All Exterrnal Factors,59.5
Hungary,1982,All Suicide,37.3
Hungary,1982,Expected Lifespan,69.4
Hungary,1983,All Diseases,675.9
Hungary,1983,All Exterrnal Factors,62.2
Hungary,1983,All Suicide,39.8
Hungary,1983,Expected Lifespan,69
Hungary,1984,All Diseases,654.4
Hungary,1984,All Exterrnal Factors,61.3
Hungary,1984,All Suicide,39.6
Hungary,1984,Expected Lifespan,69
Hungary,1985,All Diseases,652.4
Hungary,1985,All Exterrnal Factors,65.8
Hungary,1985,All Suicide,38.1
Hungary,1985,Expected Lifespan,69
Hungary,1986,All Diseases,639.6
Hungary,1986,All Exterrnal Factors,62.3
Hungary,1986,All Suicide,38.8
Hungary,1986,Expected Lifespan,69.2
Hungary,1987,All Diseases,608
Hungary,1987,All Exterrnal Factors,61
Hungary,1987,All Suicide,38.6
Hungary,1987,Expected Lifespan,69.7
Hungary,1988,All Diseases,590.3
Hungary,1988,All Exterrnal Factors,59.7
Hungary,1988,All Suicide,35.2
Hungary,1988,Expected Lifespan,70
Hungary,1989,All Diseases,607.8
Hungary,1989,All Exterrnal Factors,64.2
Hungary,1989,All Suicide,35.3
Hungary,1989,Expected Lifespan,69.5
Hungary,1990,All Diseases,621.1
Hungary,1990,All Exterrnal Factors,70.9
Hungary,1990,All Suicide,33.5
Hungary,1990,Expected Lifespan,69.3
Hungary,1991,All Diseases,612
Hungary,1991,All Exterrnal Factors,68.6
Hungary,1991,All Suicide,32.3
Hungary,1991,Expected Lifespan,69.4
Hungary,1992,All Diseases,629
Hungary,1992,All Exterrnal Factors,69.4
Hungary,1992,All Suicide,32.5
Hungary,1992,Expected Lifespan,69.1
Hungary,1993,All Diseases,642.5
Hungary,1993,All Exterrnal Factors,64.9
Hungary,1993,All Suicide,29.8
Hungary,1993,Expected Lifespan,69.1
Hungary,1994,All Diseases,612.1
Hungary,1994,All Exterrnal Factors,61.6
Hungary,1994,All Suicide,29.1
Hungary,1994,Expected Lifespan,69.5
Hungary,1995,All Diseases,595.3
Hungary,1995,All Exterrnal Factors,59.7
Hungary,1995,All Suicide,26.6
Hungary,1995,Expected Lifespan,69.8
Hungary,1996,All Diseases,589.3
Hungary,1996,All Exterrnal Factors,53.8
Hungary,1996,All Suicide,26.9
Hungary,1996,Expected Lifespan,70.3
Hungary,1997,All Diseases,565.1
Hungary,1997,All Exterrnal Factors,51.8
Hungary,1997,All Suicide,25
Hungary,1997,Expected Lifespan,70.7
Hungary,1998,All Diseases,570.9
Hungary,1998,All Exterrnal Factors,51.8
Hungary,1998,All Suicide,25.8
Hungary,1998,Expected Lifespan,70.6
Hungary,1999,All Diseases,595.4
Hungary,1999,All Exterrnal Factors,51.8
Hungary,1999,All Suicide,26.8
Hungary,1999,Expected Lifespan,70.7
Hungary,2000,All Diseases,554.1
Hungary,2000,All Exterrnal Factors,46.2
Hungary,2000,All Suicide,26.2
Hungary,2000,Expected Lifespan,71.2
Hungary,2001,All Diseases,502.2
Hungary,2001,All Exterrnal Factors,45.2
Hungary,2001,All Suicide,23.2
Hungary,2001,Expected Lifespan,72.2
Hungary,2002,All Diseases,502.8
Hungary,2002,All Exterrnal Factors,47.3
Hungary,2002,All Suicide,22.3
Hungary,2002,Expected Lifespan,72.3
Hungary,2003,All Diseases,512.4
Hungary,2003,All Exterrnal Factors,46
Hungary,2003,All Suicide,21.5
Hungary,2003,Expected Lifespan,72.3
Hungary,2004,All Diseases,490
Hungary,2004,All Exterrnal Factors,44.1
Hungary,2004,All Suicide,21.3
Hungary,2004,Expected Lifespan,72.6
Hungary,2005,All Diseases,512.3
Hungary,2005,All Exterrnal Factors,38.2
